time_of_tariff,hs6,tariff
2018-01-01,010121,0.0
2018-04-02,010121,0.0
2018-05-01,010121,0.0
2018-07-01,010121,0.0
2018-07-06,010121,0.0
2018-08-23,010121,0.0
2018-09-24,010121,0.0
2018-11-01,010121,0.0
2019-01-02,010121,0.0
2019-06-01,010121,0.0
2018-01-01,010129,10.0
2018-04-02,010129,10.0
2018-05-01,010129,10.0
2018-07-01,010129,10.0
2018-07-06,010129,10.0
2018-08-23,010129,10.0
2018-09-24,010129,20.0
2018-11-01,010129,20.0
2019-01-02,010129,20.0
2019-06-01,010129,35.0
2018-01-01,010130,10.0
2018-04-02,010130,10.0
2018-05-01,010130,10.0
2018-07-01,010130,10.0
2018-07-06,010130,10.0
2018-08-23,010130,10.0
2018-09-24,010130,10.0
2018-11-01,010130,10.0
2019-01-02,010130,10.0
2019-06-01,010130,10.0
2018-01-01,010190,10.0
2018-04-02,010190,10.0
2018-05-01,010190,10.0
2018-07-01,010190,10.0
2018-07-06,010190,10.0
2018-08-23,010190,10.0
2018-09-24,010190,10.0
2018-11-01,010190,10.0
2019-01-02,010190,10.0
2019-06-01,010190,10.0
2018-01-01,010221,0.0
2018-04-02,010221,0.0
2018-05-01,010221,0.0
2018-07-01,010221,0.0
2018-07-06,010221,0.0
2018-08-23,010221,0.0
2018-09-24,010221,0.0
2018-11-01,010221,0.0
2019-01-02,010221,0.0
2019-06-01,010221,0.0
2018-01-01,010229,10.0
2018-04-02,010229,10.0
2018-05-01,010229,10.0
2018-07-01,010229,10.0
2018-07-06,010229,10.0
2018-08-23,010229,10.0
2018-09-24,010229,10.0
2018-11-01,010229,10.0
2019-01-02,010229,10.0
2019-06-01,010229,10.0
2018-01-01,010231,0.0
2018-04-02,010231,0.0
2018-05-01,010231,0.0
2018-07-01,010231,0.0
2018-07-06,010231,0.0
2018-08-23,010231,0.0
2018-09-24,010231,0.0
2018-11-01,010231,0.0
2019-01-02,010231,0.0
2019-06-01,010231,0.0
2018-01-01,010239,10.0
2018-04-02,010239,10.0
2018-05-01,010239,10.0
2018-07-01,010239,10.0
2018-07-06,010239,10.0
2018-08-23,010239,10.0
2018-09-24,010239,10.0
2018-11-01,010239,10.0
2019-01-02,010239,10.0
2019-06-01,010239,10.0
2018-01-01,010290,10.0
2018-04-02,010290,10.0
2018-05-01,010290,10.0
2018-07-01,010290,10.0
2018-07-06,010290,10.0
2018-08-23,010290,10.0
2018-09-24,010290,10.0
2018-11-01,010290,10.0
2019-01-02,010290,10.0
2019-06-01,010290,10.0
2018-01-01,010310,0.0
2018-04-02,010310,0.0
2018-05-01,010310,0.0
2018-07-01,010310,0.0
2018-07-06,010310,0.0
2018-08-23,010310,0.0
2018-09-24,010310,0.0
2018-11-01,010310,0.0
2019-01-02,010310,0.0
2019-06-01,010310,0.0
2018-01-01,010391,10.0
2018-04-02,010391,10.0
2018-05-01,010391,10.0
2018-07-01,010391,10.0
2018-07-06,010391,10.0
2018-08-23,010391,10.0
2018-09-24,010391,10.0
2018-11-01,010391,10.0
2019-01-02,010391,10.0
2019-06-01,010391,10.0
2018-01-01,010392,10.0
2018-04-02,010392,10.0
2018-05-01,010392,10.0
2018-07-01,010392,10.0
2018-07-06,010392,10.0
2018-08-23,010392,10.0
2018-09-24,010392,10.0
2018-11-01,010392,10.0
2019-01-02,010392,10.0
2019-06-01,010392,10.0
2018-01-01,010410,10.0
2018-04-02,010410,10.0
2018-05-01,010410,10.0
2018-07-01,010410,10.0
2018-07-06,010410,10.0
2018-08-23,010410,10.0
2018-09-24,010410,10.0
2018-11-01,010410,10.0
2019-01-02,010410,10.0
2019-06-01,010410,10.0
2018-01-01,010420,10.0
2018-04-02,010420,10.0
2018-05-01,010420,10.0
2018-07-01,010420,10.0
2018-07-06,010420,10.0
2018-08-23,010420,10.0
2018-09-24,010420,10.0
2018-11-01,010420,10.0
2019-01-02,010420,10.0
2019-06-01,010420,10.0
2018-01-01,010511,10.0
2018-04-02,010511,10.0
2018-05-01,010511,10.0
2018-07-01,010511,10.0
2018-07-06,010511,10.0
2018-08-23,010511,10.0
2018-09-24,010511,10.0
2018-11-01,010511,10.0
2019-01-02,010511,10.0
2019-06-01,010511,10.0
2018-01-01,010512,10.0
2018-04-02,010512,10.0
2018-05-01,010512,10.0
2018-07-01,010512,10.0
2018-07-06,010512,10.0
2018-08-23,010512,10.0
2018-09-24,010512,10.0
2018-11-01,010512,10.0
2019-01-02,010512,10.0
2019-06-01,010512,10.0
2018-01-01,010513,10.0
2018-04-02,010513,10.0
2018-05-01,010513,10.0
2018-07-01,010513,10.0
2018-07-06,010513,10.0
2018-08-23,010513,10.0
2018-09-24,010513,10.0
2018-11-01,010513,10.0
2019-01-02,010513,10.0
2019-06-01,010513,10.0
2018-01-01,010514,10.0
2018-04-02,010514,10.0
2018-05-01,010514,10.0
2018-07-01,010514,10.0
2018-07-06,010514,10.0
2018-08-23,010514,10.0
2018-09-24,010514,10.0
2018-11-01,010514,10.0
2019-01-02,010514,10.0
2019-06-01,010514,10.0
2018-01-01,010515,10.0
2018-04-02,010515,10.0
2018-05-01,010515,10.0
2018-07-01,010515,10.0
2018-07-06,010515,10.0
2018-08-23,010515,10.0
2018-09-24,010515,10.0
2018-11-01,010515,10.0
2019-01-02,010515,10.0
2019-06-01,010515,10.0
2018-01-01,010594,10.0
2018-04-02,010594,10.0
2018-05-01,010594,10.0
2018-07-01,010594,10.0
2018-07-06,010594,10.0
2018-08-23,010594,10.0
2018-09-24,010594,10.0
2018-11-01,010594,10.0
2019-01-02,010594,10.0
2019-06-01,010594,10.0
2018-01-01,010599,10.0
2018-04-02,010599,10.0
2018-05-01,010599,10.0
2018-07-01,010599,10.0
2018-07-06,010599,10.0
2018-08-23,010599,10.0
2018-09-24,010599,10.0
2018-11-01,010599,10.0
2019-01-02,010599,10.0
2019-06-01,010599,10.0
2018-01-01,010611,10.0
2018-04-02,010611,10.0
2018-05-01,010611,10.0
2018-07-01,010611,10.0
2018-07-06,010611,10.0
2018-08-23,010611,10.0
2018-09-24,010611,10.0
2018-11-01,010611,10.0
2019-01-02,010611,10.0
2019-06-01,010611,10.0
2018-01-01,010612,10.0
2018-04-02,010612,10.0
2018-05-01,010612,10.0
2018-07-01,010612,10.0
2018-07-06,010612,10.0
2018-08-23,010612,10.0
2018-09-24,010612,10.0
2018-11-01,010612,10.0
2019-01-02,010612,10.0
2019-06-01,010612,10.0
2018-01-01,010613,10.0
2018-04-02,010613,10.0
2018-05-01,010613,10.0
2018-07-01,010613,10.0
2018-07-06,010613,10.0
2018-08-23,010613,10.0
2018-09-24,010613,10.0
2018-11-01,010613,10.0
2019-01-02,010613,10.0
2019-06-01,010613,10.0
2018-01-01,010614,10.0
2018-04-02,010614,10.0
2018-05-01,010614,10.0
2018-07-01,010614,10.0
2018-07-06,010614,10.0
2018-08-23,010614,10.0
2018-09-24,010614,10.0
2018-11-01,010614,10.0
2019-01-02,010614,10.0
2019-06-01,010614,10.0
2018-01-01,010619,10.0
2018-04-02,010619,10.0
2018-05-01,010619,10.0
2018-07-01,010619,10.0
2018-07-06,010619,10.0
2018-08-23,010619,10.0
2018-09-24,010619,15.0
2018-11-01,010619,15.0
2019-01-02,010619,15.0
2019-06-01,010619,20.0
2018-01-01,010620,10.0
2018-04-02,010620,10.0
2018-05-01,010620,10.0
2018-07-01,010620,10.0
2018-07-06,010620,10.0
2018-08-23,010620,10.0
2018-09-24,010620,15.0
2018-11-01,010620,15.0
2019-01-02,010620,15.0
2019-06-01,010620,20.0
2018-01-01,010631,10.0
2018-04-02,010631,10.0
2018-05-01,010631,10.0
2018-07-01,010631,10.0
2018-07-06,010631,10.0
2018-08-23,010631,10.0
2018-09-24,010631,10.0
2018-11-01,010631,10.0
2019-01-02,010631,10.0
2019-06-01,010631,10.0
2018-01-01,010632,10.0
2018-04-02,010632,10.0
2018-05-01,010632,10.0
2018-07-01,010632,10.0
2018-07-06,010632,10.0
2018-08-23,010632,10.0
2018-09-24,010632,10.0
2018-11-01,010632,10.0
2019-01-02,010632,10.0
2019-06-01,010632,10.0
2018-01-01,010633,10.0
2018-04-02,010633,10.0
2018-05-01,010633,10.0
2018-07-01,010633,10.0
2018-07-06,010633,10.0
2018-08-23,010633,10.0
2018-09-24,010633,10.0
2018-11-01,010633,10.0
2019-01-02,010633,10.0
2019-06-01,010633,10.0
2018-01-01,010639,10.0
2018-04-02,010639,10.0
2018-05-01,010639,10.0
2018-07-01,010639,10.0
2018-07-06,010639,10.0
2018-08-23,010639,10.0
2018-09-24,010639,10.0
2018-11-01,010639,10.0
2019-01-02,010639,10.0
2019-06-01,010639,10.0
2018-01-01,010641,10.0
2018-04-02,010641,10.0
2018-05-01,010641,10.0
2018-07-01,010641,10.0
2018-07-06,010641,10.0
2018-08-23,010641,10.0
2018-09-24,010641,10.0
2018-11-01,010641,10.0
2019-01-02,010641,10.0
2019-06-01,010641,10.0
